Date;MSI RX 6900 XT GAMING X TRIO 16G
2022-07-01;1297.97
2022-07-02;1271.94
2022-07-03;1229.12
2022-07-04;1287.5
2022-07-05;1270.76
2022-07-06;1259.15
2022-07-07;1228.91
2022-07-08;1227.13
2022-07-09;1196.96
2022-07-10;1187.33
2022-07-11;1162.72
2022-07-12;1158.81
2022-07-13;1146.95
2022-07-14;1164.95
2022-07-15;1144.79
2022-07-16;1146.46
2022-07-17;1156.25
2022-07-18;1158.07
2022-07-19;1158.37
2022-07-20;1251.15
2022-07-21;1252.02
2022-07-22;1258.58
2022-07-23;1248.99
2022-07-24;1241.52
2022-07-25;1250
2022-07-26;1214
2022-07-27;1207.21
2022-07-28;1208.68
2022-07-29;1215.31
2022-07-30;1221.94
2022-07-31;1224.3
2022-08-01;1258.38
2022-08-02;1167.48
2022-08-03;1170.81
2022-08-04;1169.26
2022-08-05;1167.59
2022-08-06;1159.5
2022-08-07;1159.91
2022-08-08;1140.57
2022-08-09;1148.39
2022-08-10;1128.79
2022-08-11;1132.5
2022-08-12;1103.04
2022-08-13;1085.68
2022-08-14;1093.92
2022-08-15;1093.71
2022-08-16;1078.19
2022-08-17;1070.71
2022-08-18;1071.32
2022-08-19;1041.53
2022-08-20;1069.14
2022-08-21;1077.23
2022-08-22;1065.07
2022-08-23;1063.42
2022-08-24;1060.81
2022-08-25;1049.78
2022-08-26;1050.52
2022-08-27;1062.48
2022-08-28;1063.32
2022-08-29;1045.63
2022-08-30;1111.42
2022-08-31;1063.52
2022-09-01;1126.18
2022-09-02;1115.78
2022-09-03;1098.53
2022-09-04;1100.03
2022-09-05;1072.47
2022-09-06;1078.42
2022-09-07;1195.07
2022-09-08;1207.22
2022-09-09;1160.46
2022-09-10;1175.59
2022-09-11;1195.62
2022-09-12;1142.9
2022-09-13;1141.03
2022-09-14;1165.25
2022-09-15;1137.02
2022-09-16;1113.22
2022-09-17;1113.97
2022-09-18;1111.49
2022-09-19;1108.23
2022-09-20;1139.22
2022-09-21;1190.28
2022-09-22;1162.38
2022-09-23;1139.42
2022-09-24;1144.34
2022-09-25;1126.47
2022-09-26;1138.91
2022-09-27;1169.5
2022-09-28;1149.87
2022-09-29;1154.39
2022-09-30;1179.84
2022-10-01;1166.76
2022-10-02;1180.27
2022-10-03;1142.84
2022-10-04;1023.27
2022-10-05;1001.97
2022-10-06;983.35
2022-10-07;1014.52
2022-10-08;1008.26
2022-10-09;1039.43
2022-10-10;1054.97
2022-10-11;1019.11
2022-10-12;1033.48
2022-10-13;1038.93
2022-10-14;1041.33
2022-10-15;1039.66
2022-10-16;1053.85
2022-10-17;1055.41
2022-10-18;1043.53
2022-10-19;1030
2022-10-20;1056.23
2022-10-21;1024.49
2022-10-22;1071.41
2022-10-23;1075.73
2022-10-24;1080.97
2022-10-25;1064.67
2022-10-26;1074.51
2022-10-27;1074.8
2022-10-28;1042.58
2022-10-29;1061.06
2022-10-30;1068.88
2022-10-31;1076.37
2022-11-01;1087.65
2022-11-02;1063.76
2022-11-03;1041.69
2022-11-04;1060.87
2022-11-05;1070.49
2022-11-06;1085.57
2022-11-07;1085.57
2022-11-08;1085.57
2022-11-09;1052.69
2022-11-10;1078.59
2022-11-11;1071.07
2022-11-12;1043.53
2022-11-13;1037.07
